id,type,section,topic,page,qno,stem,A,B,C,D,answer,year,meta,source_file
q_7f87563e8a16,other,,,,4,在时间、条件状语从句中表示将来的动作：,,,,,B,1996.0,（答案：B）（1996年22题）,练习题整理.txt
q_83e4482c3437,other,,,,3,It is high time (that) + 句子，谓语动词用过去时。,,,,,B,1999.0,（答案：B）（1999年31题）,练习题整理.txt
q_20dbb35f1555,mcq,,动词不定式,11.0,1,"Good-bye, Mr. Wang. I’m pleased ______ you.",to meet,meeting,to have been meeting,to be met,A,1998.0,（答案：A）（1998年57题）,练习题整理.txt
q_416b0d7a9eaf,mcq,,动词不定式,11.0,2,Encouragement through praise is the most effective method of getting people ______ their best.,do,to do,doing,done,B,1996.0,（答案：B）（1996年44题）,练习题整理.txt
q_7335d654a7ff,mcq,,动词不定式的被动式,11.0,3,The ability ______ is very important for any speaker.,to hear clearly,to be clearly heard,to hearing clearly,to being clearly heard,B,1999.0,（答案：B）（1999年39题）,练习题整理.txt
q_4a52c45ee814,mcq,,动词不定式的被动式,11.0,4,Mr. and Mrs. Smith didn’t expect the house ______ so well.,to be decorated,to decorate,be decorated,decorating,A,1995.0,（答案：A）（1995年22题）,练习题整理.txt
q_2ab06ad66c22,mcq,,动词不定式的复合结构,11.0,5,It was very difficult ______ me to learn Spanish.,of,to,with,for,D,,（答案：D）,练习题整理.txt
q_5028cc1e015a,mcq,,动词不定式的复合结构,11.0,6,It is necessary ______ the papers immediately.,for you to hand in,that you hand out,your hand in,for your hand in,A,,（答案：A）,练习题整理.txt
q_778099ba8e16,mcq,,动词不定式的完成式,11.0,7,"Judging from his manners at the party, he doesn’t seem ______ much education.",to receive,to be receiving,to have received,to have been received,C,1997.0,（答案：C）（1997年45题）,练习题整理.txt
q_c0a87c494b7f,mcq,,动词不定式的完成式,11.0,8,The book is said ______ into several foreign languages up to now.,to translate,to have translate,to have been translated,to be translated,C,,（答案：C）,练习题整理.txt
q_0642f7bb180e,mcq,,stop / go on 区别,12.0,1,"The old man walked slowly, stopping frequently ______.",on rest,at rest,resting,to rest,D,1999.0,（答案：D）（1999年29题）,练习题整理.txt
q_7e17c6a1f8de,mcq,,stop / go on 区别,12.0,2,Men will never stop ______ for new ways of getting new energy.,search,to search,searching,searched,C,,（答案：C）,练习题整理.txt
q_c2067ee38936,mcq,,stop / go on 区别,12.0,3,You have been talking for two hours. How long do you intend to go on ______ like that?,talking,to talk,doing talking,talk,A,,（答案：A）,练习题整理.txt
q_f20ae08a47a8,mcq,,remember / forget,12.0,4,Don’t forget ______ the window before leaving the room.,to have closed,to close,having closed,closing,B,2001.0,（答案：B）（2001年28题）,练习题整理.txt
q_c24707df71e7,mcq,,have sth done,12.0,5,We are going to have our office ______ to make room for a new engineer.,to rearrange,rearrange,rearranged,rearranging,C,2002.0,（答案：C）（2002年50题）,练习题整理.txt
q_5fa3dc883d97,mcq,,have sth done,12.0,6,I’ll ______ that I’m a qualified engineer.,have you know,have known you,have you knowing,have you know,A,2003.0,（答案：A）（2003年25题）,练习题整理.txt
q_d5abb27af391,mcq,,动名词,12.0,7,We shall appreciate ______ from you soon.,being heard,hearing,to hear,having been heard,B,1998.0,（答案：B）（1998年42题）,练习题整理.txt
q_23d99737c35b,mcq,,动名词,12.0,8,John suggested ______ anything about it until they found out more facts.,not to say,saying not,to say not,not saying,D,1995.0,（答案：D）（1995年53题）,练习题整理.txt
q_f9fe66c46b0e,mcq,,动名词,12.0,9,I don’t remember ______.,ever to be saying,to have ever said,having ever said that,ever said that,C,,（答案：C）,练习题整理.txt
q_211896b6ca11,mcq,,动名词,12.0,10,No one avoid ______ by advertisements.,influenced,influencing,to influence,being influenced,D,,（答案：D）,练习题整理.txt
q_b249d7e49989,mcq,,动名词,12.0,11,Susan was very unhappy for not ______ to the party.,to be invited,having been invited,inviting,to have been invited,D,,（答案：D）,练习题整理.txt
q_b976548b346f,mcq,,动名词,12.0,12,He forgot about ______ him to attend my wife’s birthday party.,I asking,my asking,me to ask,mine to ask,B,1998.0,（答案：B）（1998年29题）,练习题整理.txt
q_618702c693a6,mcq,,动名词,12.0,13,Don’t risk ______ the job which so many people want.,losing,to lose,lost,your life to lose,A,1999.0,（答案：A）（1999年57题）,练习题整理.txt
q_4b315a6b7760,mcq,,动名词,12.0,14,I don’t think it is any use ______ this matter any further.,discussing,to discuss,to discussing,to be discussed,A,,（答案：A）,练习题整理.txt
q_8acbaab18ca6,mcq,,动名词,12.0,15,"You don’t object ______ you by your first name, do you?",for me to call,me to call,to my calling,my calling,C,1996.0,（答案：C）（1996年21题）,练习题整理.txt
q_2b212868b39d,mcq,,动名词,12.0,16,The students are looking forward to ______ their parents in winter vacation.,see,watch,seeing,being seen,C,,（答案：C）,练习题整理.txt
q_46c507a7430f,mcq,,分词,13.0,1,She was sitting in an armchair ______ a book.,reading,to read,to be reading,to have read,A,1995.0,（答案：A）（1995年37题）,练习题整理.txt
q_8a657cc7a834,mcq,,分词,14.0,1,"______ anything about the accident, he went to work as well.",Not knowing,Knowing not,Knowing,Not knowing,D,2000.0,（答案：D）（2000年28题）,练习题整理.txt
q_7c6c4b62bf69,mcq,,分词,14.0,2,They all returned to the village ______ that the danger was over.,convincing,convinced,to convince,having convinced,B,1997.0,（答案：B）（1997年57题）,练习题整理.txt
q_6837d8beff2f,mcq,,分词,14.0,3,We kept our ______ all night to frighten the wolves.,burning fire,burnt fire,fire burning,fire burnt,C,1997.0,（答案：C）（1997年55题）,练习题整理.txt
q_748f63183887,mcq,,分词,14.0,4,She told me that it was the most ______ gift her daughter had received.,delighting,delighted,delights,delight,A,2003.0,（答案：A）（2003年38题）,练习题整理.txt
q_52978f56a61c,mcq,,分词,14.0,5,My parents are ______ with my progress.,please,pleased,pleasing,being pleased,B,,（答案：B）,练习题整理.txt
